decade,altitude,q25,median,q75,scenario_type
1996-2005,600,4.68069789536895,9.48101196173675,27.8700687733275,1.Observation
1996-2005,800,15.3312926786171,33.7047255325682,50.225175897797,1.Observation
1996-2005,1000,55.1081292430628,66.9843553153464,112.102079001313,1.Observation
1996-2005,1200,94.0779036666234,147.301527371427,230.705331301244,1.Observation
1996-2005,1400,125.343808211302,198.984685037696,393.483256115517,1.Observation
1996-2005,1600,173.642170928441,242.103376081391,490.846917275194,1.Observation
1996-2005,1800,216.946994797834,404.279528751061,590.957231713986,1.Observation
1996-2005,2000,284.71438428672,646.826170061836,751.508926272227,1.Observation
1996-2005,2200,414.863070170061,839.152365167534,1147.32984635959,1.Observation
1996-2005,2400,700.352092153291,1037.30077960519,1546.61503451429,1.Observation
1996-2005,2600,1017.30346017941,1235.80052665193,1825.33686547439,1.Observation
1996-2005,2800,1453.11493738431,1609.79820719108,2315.97143652982,1.Observation
2006-2015,600,2.80247796906253,11.1371604269848,37.8265692496302,1.Observation
2006-2015,800,8.38770954991672,28.0068925487625,88.8075829053176,1.Observation
2006-2015,1000,21.4367310790883,99.8591386386995,193.713392300942,1.Observation
2006-2015,1200,55.8410471677159,197.529468229759,360.073509743567,1.Observation
2006-2015,1400,106.363475878309,278.977959866537,506.640006201537,1.Observation
2006-2015,1600,185.228235370242,357.233696130111,689.455195113942,1.Observation
2006-2015,1800,419.703542054611,464.645582391852,955.260468131622,1.Observation
2006-2015,2000,524.069045627356,833.483204809529,1284.54236337205,1.Observation
2006-2015,2200,671.538172775582,1091.85419424792,1312.72519814927,1.Observation
2006-2015,2400,936.787539691711,1384.64983437164,1723.04852284384,1.Observation
2006-2015,2600,1117.49115311307,1643.50258233834,2065.40035664492,1.Observation
2006-2015,2800,1381.53442084924,1986.83361019526,2815.88035959005,1.Observation
RCP 4.5,600,0.388856865920544,0.717459074868679,5.31876681446388,2.Forecast
RCP 4.5,800,1.56263876246927,3.65754401642999,15.7410195951894,2.Forecast
RCP 4.5,1000,8.98403566454041,18.640984260458,94.226647826434,2.Forecast
RCP 4.5,1200,27.8529442383596,91.4895494417698,217.442611218981,2.Forecast
RCP 4.5,1400,62.9063291510518,212.242596286985,356.424115874684,2.Forecast
RCP 4.5,1600,117.33020654312,271.914928783597,553.125728747293,2.Forecast
RCP 4.5,1800,209.099471438234,361.094126871504,781.854390467796,2.Forecast
RCP 4.5,2000,430.72842138559,499.458334854083,1099.55343763997,2.Forecast
RCP 4.5,2200,587.650731164059,759.82591685734,1216.45569550309,2.Forecast
RCP 4.5,2400,849.017557729649,1290.9692286838,1422.50269319427,2.Forecast
RCP 4.5,2600,1092.15786583585,1617.54733435786,1960.06322369401,2.Forecast
RCP 4.5,2800,1398.55743537594,2025.82880759201,2461.22429065811,2.Forecast
RCP 8.5,600,0.151638357266867,0.524048293742,1.25735993418509,2.Forecast
RCP 8.5,800,0.476940922071926,1.59151182578849,6.15101931004622,2.Forecast
RCP 8.5,1000,2.59656449869156,10.237167972286,41.2697461667589,2.Forecast
RCP 8.5,1200,14.1874722473874,55.0480313472645,150.155024686643,2.Forecast
RCP 8.5,1400,45.3296161808807,164.170511330463,286.999451229084,2.Forecast
RCP 8.5,1600,102.215967425506,266.092186458105,456.11970172932,2.Forecast
RCP 8.5,1800,186.42462028679,358.251624163322,662.099490571093,2.Forecast
RCP 8.5,2000,345.352552316582,491.050815464209,942.807821643834,2.Forecast
RCP 8.5,2200,562.910559806836,698.068070656688,1217.89995154578,2.Forecast
RCP 8.5,2400,750.487732429911,1155.18520197108,1416.2163214657,2.Forecast
RCP 8.5,2600,959.564158333935,1446.847857316,1728.23899388541,2.Forecast
RCP 8.5,2800,1217.14325067237,1816.7403308625,2126.91691796565,2.Forecast
